Date,Open,High,Low,Close,Return,Volume,Company
2021-06-08,126.599998,128.460007,126.209999,126.739998,0.001105845,74403800,Apple
2021-06-09,127.209999,127.75,126.519997,127.129997,-0.000628897,56877900,Apple
2021-06-10,127.019997,128.190002,125.940002,126.110001,-0.007164195,71186400,Apple
2021-06-11,126.529999,127.440002,126.099998,127.349998,0.006480669,53522400,Apple
2021-06-14,127.82,130.539993,127.07,130.479996,0.020810483,96906500,Apple
2021-06-15,129.940002,130.600006,129.389999,129.639999,-0.002308781,62746300,Apple
2021-06-16,130.369995,130.889999,128.460007,130.149994,-0.001687513,91815000,Apple
2021-06-17,129.800003,132.550003,129.649994,131.789993,0.015331201,96721700,Apple
2021-06-18,130.710007,131.509995,130.240005,130.460007,-0.001912631,108953300,Apple
2021-06-21,130.300003,132.410004,129.210007,132.300003,0.015349194,79663300,Apple
2021-06-22,132.130005,134.080002,131.619995,133.979996,0.014001294,74783600,Apple
2021-06-23,133.770004,134.320007,133.229996,133.699997,-0.000523339,60214200,Apple
2021-06-24,134.449997,134.639999,132.929993,133.410004,-0.007735166,68711000,Apple
2021-06-25,133.460007,133.889999,132.809998,133.110001,-0.002622553,70783700,Apple
2021-06-28,133.410004,135.25,133.350006,134.779999,0.010269057,62111300,Apple
2021-06-29,134.800003,136.490005,134.350006,136.330002,0.011350141,64556100,Apple
2021-06-30,136.169998,137.410004,135.869995,136.960007,0.005801638,63261400,Apple
2021-07-01,136.600006,137.330002,135.759995,137.270004,0.004904817,52485800,Apple
2021-07-02,137.899994,140,137.75,139.960007,0.014938456,78852600,Apple
2021-07-06,140.070007,143.149994,140.070007,142.020004,0.013921589,108181800,Apple
2021-07-07,143.539993,144.889999,142.660004,144.570007,0.007175798,104911600,Apple
2021-07-08,141.580002,144.059998,140.669998,143.240005,0.011724841,105575500,Apple
2021-07-09,142.75,145.649994,142.649994,145.110001,0.016532406,99890800,Apple
2021-07-12,146.210007,146.320007,144,144.5,-0.011695554,76299700,Apple
2021-07-13,144.029999,147.460007,143.630005,145.639999,0.011178227,100827100,Apple
2021-07-14,148.100006,149.570007,147.679993,149.149994,0.007089723,127050800,Apple
2021-07-15,149.240005,150,147.089996,148.479996,-0.005092529,106820300,Apple
2021-07-16,148.460007,149.759995,145.880005,146.389999,-0.013943203,93251400,Apple
2021-07-19,143.75,144.070007,141.669998,142.449997,-0.009043499,121434600,Apple
